17a-dihydroequilin	17a-dihydroéquiline
pregnancy	grossesse
Pregnancy	Grossesse
pregnancy	grossesse
pregnant	enceinte
premenstrual pain	douleurs prémenstruelles
Premium Group and Individual Health and Dental Benefits Specialist	Le grand spécialiste en prestations collectives et individuelles des soins de santé et dentaires au Canada
Premunition	Prémunition
prepared	techniqué
presbyacusia	presbiacousié
pre-school child	enfant d'âge pré-scolaire
prescribed	pr'escrit
Prescription Drug Special Authorization Form	Formulaire dautorisation spéciale de médicament dordonnance
prescription period	delai de prescription
prescription refill	renouvellement d'ordonnance
Prescriptive screening	Prévalence
present airway obstruction	obstruction bronchique objectivée
preservation	conservation
press any key to continue	appuyez sur une touche pour continuer
press-fit	ajusté en force
pressure on nerves	tension nerveuse
pre-term baby	prématuré
Prevalence	Prévalence relative
Prevalence rate	Rapport de prévalences
Prevalence study	Etude de prévalence
Preventable fraction	Fraction évitable
Prevented fraction	Fraction évitée
Prevention	Prévention
Preventive medicine	Médecine préventive
Preventive trial	Essai préventif
Primary case	Cas primaire
Primary health care	Soins de santé primaires Soins de première ligne
primary study	recherche originale
Principal component analysis	Analyse en composantes principales
Prior probability	Probabilité a priori
Probability density	Densité de probabilités
Probability distribution	Distribution de probabilités
Probability	Probabilité
Probability sample	Echantillon aléatoire ou probabiliste
Probability theory	Théorie de probabilités
probe	approfondir
probe	examiner
probe	sonde
problems concentrating	difficultés de concentration
procedure	acte
procedure	chirogie
procedure	déroulement
procedure	geste
procedure	modalité
processing	Lindépendance des traitements de lidentité faciale et de lexpression émotionnelle
processing	transformation
proctology	proctologie
Product dossier	dossier de fabrication
product profile	fiche de présentation du produit
profiling	profilage
Program	Programme
Program review	Revue de programmes
Program trial	Evaluation expérimentale ou quasi-expérimentale d'un programme
Prolene purse-string suture	Bourse de prolène
proliferative pseudosarcomatous fascitis	fasciite nodulaire pseudo-sarcomateuse
Properties of anticancer drugs targeting oncogenes	Propriété des molécules anticancéreuses oncogénétiques
Proportional hazards model	Modèle de régression à effet proportionnel
Proportionate mortality rate	Taux de mortalité proportionnelle
Proportionate mortality ratio	Ratio de mortalités proportionnelles
Proportion	Proportion
Propoxyphene	Propoxyphène
proprietary name	Nom de spécialité
prosatatis	prostatie
proselytisme	proselitysm
prospective cure	traitement expérimental
Prospective study	Etude prospective
prostate specific antigen	prostate antigène spécifique
prostatitis	prostatite
prosthetic Y-shaped bypass graft	PONTAGE EN Y PROTHÉTIQUE
protective effect	effet protecteur
protein	protéines
Proteinuria	Protéinurie
Proteoglycanes	Protéoglycanes
Prothrombin level	PL
Protocol Champion	Chef de protocole
Protocol	Protocole
protwine stain	angiome plan
Provider Online Services	Services au fournisseur en ligne
provincial compounding fee	Frais provinciaux pour les composés
provisional and final diagnosis	diagnostic provisoire et definitif
Proximal convoluted tubule	Tube contourné proximal
proximal	en amont de
proximal end	extrémité proximale
Proximal interphalangeal joint	PIPJ
proximal to	En amont de la palette
Proximal tubule	Tube proximal
proximal ureteral and pyelocalyceal dilatation	dilatation urétéro-pyélocalicielle damont
Proximate determinant of fertility	Facteurs qui influencent directement la fécondité
Pruritis ani	Prurit anal
Pruritis scroti	Prurit scrotal
Pruritis vulvae	Prurit vulvaire
Psoriasis	Psoriasis
psychological counseling	conseils psychologiques
ptosis	ptose
Pubic pressure urinal	urinal à pression sus-pubienne
Public company	PC
Public Health	Santé publique
pudendal nerve	nerf honteux
puffiness	bouffissure
Pulmonary hypertension	PHT
Pulsatility index	PI
pulselessness	abolition du pouls
pulse oximeter techniques	techniques d'oxymétrie pulsée
pulse	pouls
pumping breasts	tireuse électrique
punch biopsy	biopsie à l'emporte-pièce
Punch card	Carte perforée
punishment	punitions
Purkinje cell	cellule de Purkinje
purpose	but
purposes	objectifs
Purpura	Purpura
purpura	purpura
Pus	Pus
Pustular	Pustulaire
Pustule	Pustule
put on a drip	ÇáÍÞä ÈÇáãÍÇáíá Úä ØÑíÞ ÇáæÑíÏ
P wave	onde P
pyramidal cell	cellule pyramidale
Pyrrolizidine Alkaloids	Alcaloïdes pyrrolizidiniques
QRS complex	complexe QRS
QRS snapshot	Instantanée QRS
qualification as an orthoptist	capacité d'orthopiste
Qualitative data	Données qualitatives
Quality control	Contrôle de la qualité
Quality of care	Qualité des soins
Quality of life	Qualité de vie
Quantiles	Quantiles
Quantitative data	Données quantitatives
Quarantine	Quarantaine
Quasi-experiment	Quasi-expérimentation
Questionnaire	Questionnaire
Quetelet's index	Indice de Quételet Indice de masse corporelle
queuing model	modele file d'attente
quiet operate iris port	Hublots à diaphragme silencieux ou à manipulation silencieuse
Quota sampling	Echantillonnage par quotas
Quotient	Quotient
Race	Race
radiation monitoring meter	appareil de mesure des radiations
radiofrequency  RF	radiofréquence  RF
radioscopic C-arm	arceau de scopie
radiotherapy	radiotherapie
radiotherapy	radiothérapie
radioulnar joint	articulation radio-cubitale
Radix	Table hypothétique d'une cohorte de naissance
Rahe-Holmes social readjustment rating scale	Echelle d'évaluation de réajustement social de Rahe-Holmes
Raloxifene	Raloxifène
random access	accès aléatoire
Random error	Erreur aléatoire
Randomization	Allocation aléatoire Randomisation Allocation au hasard
Randomization is blocked by site	La randomisation s'effectue par centre avec stratification en fonction de ...
randomized clinical trial	distribution aléatoire des sujets dans les groupes comparés
Random sample	Echantillon aléatoire
randomtest	contrôle aléatoire
Range of distribution	Etendue de la distribution
Ranking scale	Echelle ordinale
Rapacuronium Bromide	Bromure de rapacuronium
Rapid Infusion Catheter	Cathéter pour perfusion rapide
rashes	éruptions
Raskin E chart	E de Raskin
Rated client	Client à prime fixe
Rate & Economic Analyst	spécialiste en taux et économie - analyste actuariel
Rate-odds ratio	Rapport de cotes de maladie
Rate	Taux
rating	évaluation
Ratio scale	Echelle proportionnelle
raw ulcer	ulcération ouverte
Raw weeping area	Lésion à vif suintante
reabsorption coefficient	coefficient de résorption
reading	lecture
real and permanent death	mort réelle et constante
real time	en temps réel
reamer	alésoir
reasonable	acceptable
Reasonable suspicion testing	tests de dépistage de substances illicites en cas de doute raisonnable
recent blood transfusion	transfusion sanguine récente
reciprocating tachycardias	tachycardies réciproques
reconstructive surgery	chirurgie reconstructrice
Recontouring	plastie
recovery	guérison
recovery	réanimation
Recrudescence	Recrudescence
rectal bleeding	saignement de rectum
rectouterine pouch	cul-de-sac recto-vaginal
rectovesical pouch	cul-de-sac vésico-rectal
recurrent indigestion	indegestion recurrénte
recurrent	récidivant
red blood cells	globules rouges
Red blood cells	RBC
red cell	globule rouge
Redness	Rougeur
re-excision	reprise
referal	renvoie
reference lumen area	aire de référence
Reference population	Population de référence
refers to	correspond
refill	remplir de nouveau
refill	reremplissable
Refinement	Raffinement
reflected	recourbé
réflexes ostéo-tendineux or symmetrical deep tendon reflex	ROT symétriques
Reflux nephropathy	Néphropathie du reflux
refractive cells	cellules réfringeantes
Refractory period	RP
regimen	rythme d'administration
Registered General Nurse	Infirmier Breveté Généraliste
registrar	chef de clinique
Registration	Enregistrement
Regression analysis	Analyse de régression
Regression line	Droite de régression
Regression	Régression
Relative odds	Rapport de cotes
relaxation	décontraction
relax	détendre
releasing factor	hormone libérante
relevant clinically actionable	pertinents cliniquement exploitable
Reliability	Fiabilité
reline impression	empreinte d'alignement
removal	ablation
removal	exérèse
renal arteries	artères rénales
Renal biopsy	Biopsie rénale
Renal cortex	Cortex rénal
renal damage	atteinte rénale
renal disorder	désordre renal
Renal failure	Insuffisance rénale
Renal insufficiency	Insuffisance rénale
Renal lobe	Lobe rénal
Renal medulla	Médulla rénale
Renal papilla	Papille rénale
renal pelvis	bassinet rénal
Renal tubule	Tubule rénal ou tubule urinifère
rental lease	bail
reorder	recommander
Repeatability	Reproductibilité
repeated cardioplegia	cardioplégie itérative
repetitive strain injury	repitiion de fouler un muscle
Replacement level fertility	Taux de reproduction
repolarization	repolarisation
Representative sample	Echantillon représentatif
Reproducibility	Reproductibilité
reproductive hormones	hormones reproductrices
Reproductive isolation	Endogamie
reproductive organ	organe reproducteur
request for 100% reimbursement	demande de 100%
resection of the entire mid-body and posterior horn of the meniscus	résection de toute la corne moyenne et postérieure méniscale
reserves costs	réserve les dépens
Reservoir of infection	Réservoir de l'infection
Residual volume	RV
Resolution	Résolution
Resolving power	Pouvoir de discrimination
respiratory system	appareil respiratoire
respiratoy infection	infection respiratoire
response-count	nombre de réponse
response curve	courbe de réponse
Response rate	Taux de réponse
response strategies	pistes de solution
responsive secondary haematopoiesis	hématopoïèse réactionnelle
resting EEG	EEG au repos
resting gated-SPECT	Tomographie SPECT synchronisée à l'ECG au repos
restless baby	bébé sans cesse en mouvements
Rest	Repos
resuscitation	réanimation
retention suture	suture de renforcement
reticular fibre	fibre réticulaire
reticular fibre	fibre réticulée
reticular layer	couche réticulaire
Retrograde cystography	Cystographie rétrograde
Retroperitoneum	Rétropéritoine
retrospective chart review	analyse rétrospective des dossiers médicaux
Retrospective study	Etude rétrospective
Retrovirus	Rétrovirus
retroxiphoid	Rétraxyphoïdien
reversible changes	altérations réversibles
rewards	récompenses
rheumatic fever	Fièvre rhumatismale
rheumatism	deformation
rheumatoid arthritis	arthrite rheumatoide
rheumotologist	rheumotologue
rib	côte
Riboflavin	Riboflavine ou vitamine B2
ribs	côtes
rickets	rachitisme
riding embolus	embol à cheval
Right anterior oblique	RAO
right atrium	oreillette droite
Right atrium	RA
right carotid	carotide droite
Right coronary	RC
right hypochondrium	RHC
right lymphatic duct	grande veine lymphatique
right subclavian	en sc dte
Right ventricle	RV
rigid lumbar brace	corset de contention
rim	jante
ring	anneau
ringworm	dermatophytose
ringworm	teigneux
Risk assessment	Evaluation du risque
Risk benefit analysis	Analyse risques avantages
Risk benefit ratio	Rapport risques avantages
Risk difference	Différence des risques
Risk factor	Facteur de risque
Risk Factors	RF
Risk management	Management des risques
Risk ratio	Rapport de risques
risks and safety statements	S'il s'agit bien de la NOTICE d'un médicament : voir ci-dessous
robustness of hazards to adjustment	la robustesse des risques relatifs après ajustement
Robust	Robuste
rod	batonet
rod	Tige
roentgen diagnosis	diagnostic radiologique
Rolling months	Mois consécutifs - reportés
roll up and unroll	enroulent et déroulent
roman catholic	catholique romaine
root canal	canal dentaire
root canal	canal radicalaire
Roseola	Roséole
rotator cuff	coiffe des rotateurs
rotator cup	rotateur blessure de blanchette
Route of administration	Voie dadministration
routine tempus	éprouvettes Tempus habituelles
rubella	rubeolle
rubella	rubicelle
Rubric	Rubrique
runs	clichés
saddle joint	articulation en selle
safe and sound	se sentir en  sécurité
safety alarm	avertisseur de securite
Safety factor	Facteur de sécurité
safety limits	limites en matière de sécurité
Safety standards	Normes de sécurité
salvage therapy	sauvetage
salvage treatment	traitement de rattrapage
sample	échantillon
Sample	Echantillon
sample for product release testing	échantillon libératoire
Sample size	Taille de l'échantillon
Sampling	Echantillonnage
Sampling error	Erreur d'échantillonnage
Sanitary cordon	Cordon sanitaire
saphenofemoral junction	Crosse SI
Saphenous vein graft	SVG
sapwood	aubier
Sarcocele	Sarcocèle
Sarcotic	Sarcotique
Scabies	Gale
scaffolded arterial segment	segment artériel stenté
Scale	Echelle
scalp	cheveleux
scalp	chevelu
Scalp dermatitis	Dermatite du cuir chevelu
Scaly crust	Croûte squameuse
Scan	scintigramme
Scar	Cicatrice
scar	cicatrice
Scarface	Balafre
scarlet fever	scarlatine
Scarlet	Scarlatine
scar tightness	retraction de la cicatrice
Scatter diagram	Diagramme de dispersion
schedular	céedulaire
Scholarship Program for Dependents	Programme de bourses détude pour personnes à charge
Schwann's sheath	gaine de Schwann
scout and pilot images	clichés de repérage et de centrage
scratch	egratignure
scratch	égratignure
scrawny	famalique
screaming	hurlement
Screening Criteria	Critère de sélection
Screening	Dépistage
screening enzymatic tests	réactions enzymatiques d'orientation
Screening level	Niveau de dépistage
sealed	fermé
seasonal allergies	allergies saisonnières
Seasonal variation	Variation saisonnière
sebaceous gland	glande sébacée
Seborrhea	Séborrhée
seborrheic alopecia	alopécie séborrhéique
Seborrheic dermatitis	Dermatite séborrhéique
Seborrheic	Séborrhéique
seborrhoeic dermatitis	séborrhée
Secondary attack rate	Taux d'attaque secondaire
secondary phenomenon	phenomene d'accompagnement
second-degree AV block	bloc de second degré
Second degree burn	Brûlure du deuxième degré
second-line	deuxième intention
secretory phase	phase estroprogestative
Secular trend	Tendance séculaire
sedation	sédation
sedative	calmant
seed graft	greffe par implantation
seesaw murmur	bruit de va-et-vient
segmental bone loss of the middle cranial base	pertes de substances interruptrices de létage moyen.
seizures	convulsions
seizures	crise d'épilepsie
seizures	crises convulsifs
Selection bias	Biais de sélection
Selection	Sélection
selective and specific inhibitor of the sinus node If current	inhibiteur sélectif et spécifique du canal If au niveau du noeud sinusal
self-expanding	expansible
self-report	auto-rapport
Self-selection	Auto-sélection
self-testing	autodiagnostic
sender-receiver	expediteur-receptionnaire
Senile pruritus	Prurit sénile
Senior Doctor	SD
Sensitive skin	Peau fragile
Sensitivity and specificity	Sensibilité et spécificité
Sensitivity testing	Cas sentinelle
sensor	capteur
sensory impairement	déficit sensoriel
sensory system	appareil sensoriel
Sentinel physician	Médecin sentinelle
Sentinel practice	Clientèle médicale sentinelle
Sepsis probably due to bacterial translocation from the gastrointestinal tract	sepsis par probable translocation à un point de depart digestif.
sequelae	séquelles
sequence	séquence
Sequential analysis	Analyse séquentielle
Serendipity	Découverte inattendue et heureuse
series of images	serie de coupes
serious ciliary dyskinesia	dyskinésie ciliaire secondaire
serious deformity	difformité sévère
serious	grave
Seroepidemiology	Séroépidémiologie
serum globulin	globuline sérique
Serum	Sérum
sesamoid ligament complex	sangle sésamoïdienne
severe at the root of the mesentery	marquée à la racine
severe frontal headaches	les cephalées hyperalgiques en casque
severe hepatic cytolysis	cytolyse hépatique majeure
severity of their symptoms	gravité de leurs symptômes
Sex ratio	Ratio des sexes
Sex-specific rate	Taux par sexe
sexually transmitted disease	maladie sexuellement transmissible
sexually transmitted disease	venereal disease
sexual swellings	Tuméfaction de la région génito-anale  - Ne pas oublier que la logique cartésienne exige en FR que le génito passe avant l'anal.
sharp glass	verre tranchant
sheath	gaine
shelf life	durée de conservation
Shelf life	Durée de stabilité
shelf life	durée de stabilité
sherrif	sherif
shin	devant du tibia
shingles	bardeaux
shingles	zona
shingle	zona
shipment	expédition
shipyard	chantier naval
Shoe-leather epidemiology	Epidémiologie sur le terrain
shorter menstrual cycle	cycles raccourcis
short sampling	échantillon insuffisant pour l'examen
Short-term memory	Mémoire immédiate
shoulder arthroplasty	arthroplastie de l'épaule
shoulder joint	articulation scapulo-humérale
shrug	haussement d'épaules
shy children	enfants timides
Sibship	Fratrie
Sibutramine	Sibutramine
sickel cell disease	dépranocytose
sickle cell anemia	drépanocytose
sickle cell	depranocyte
sickle cell disease	anémie falciforme
sickle cell	hématie falciforme
Sickness	Maladie
sicle cell anemia	anemie depraocytose
side effect	effet secondaire
Side effect	Effet secondaire
signaling in developpment	signalisation développementale
Significant	Paradoxe de Simpson
Simpson's paradox	Simulation
Simulation	Analyse de situation
simultaneous mode	choc bidirectionnel
single dose vial	flacon monodose
single mode	choc unidirectionnel
single-parent family	parent unique
sinus bradycardia	bradycardie sinusale
sinus infection	infection des sinus
sinus pause	pause sinusale
sinus rhythm	rythme sinusal
sinus tachycardia	tachycardie sinusale
site	foyer
site	zone lombaire siège
Sitting disease	pathologie de la posture assise
Situation analysis	Distribution asymétrique
size	format
skeletal chondromatosis	chondromatose du squelette
Skew distribution	Virus lent
Skin abrasion	Ecorchure
skin cancer	cancer de la peau
Skin cleansing	Hygiène cutanée
Skin closure	Sutture cutanée
skin disorders	affections de la peau
Skin disorder	Trouble de la peau
skin graft	greffe cutanée
skin	peau
Skin reaction	Réaction cutanée
Skin vulnerability	Fragilisation de la peau
skull	crâne
slashing and gouging wounds	lacérations ou plaies profondes
slice	coupe
sliding hernia	hernie par glissement
slightly loosen locking knobs	desserrez légèrement les boulons de serrage
sloughing	formation d'escarres
slow blood flow	débit sanguin
Slow virus	Habitudes de fumer
slurred speech	altération de la parole
slurring	empatement
small cavities	micro-lacunaire
small cell lung cancer	cancer du poumon à petites cellules
Small Group Product	Produit pour petites entreprises
small intestine	intestin grêle
small renal pelvis outside the renal sinus	petit bassinet extra-sinusal
Smear	Frottis
smell	hume
Smoking habits	Classe sociale
smoking	tabagisme
smoldering myeloma	myélome dormant
snap back into a panhandle structure	réadopter spontanément une structure en queue de poêle
Soap	Savon
so-called	dite de cohorte
Social class	Dérive sociale
Social drift	Médecine sociale
Social dysfunction and social disability	Préjudice détablissement
Social medicine	Classification socio-économique
Socioeconomic classification	Statut socio-économique
sodium ascorbate	ascorbate de sodium
sodium ions	ions Na
Sodium usniate	Usnate de sodium
soft diet	régime de consistance molle
soft tissue	parties charnues
Solar acne	Acné solaire
Solvent	Solvant
some people	certaines personnes
sore throat	mal à la gorge
Soundex code	Source d'infection
Source of infection	Coefficient de corrélation des rangs de Spearman
South America	Amérique du Sud
soybean	fève de soja
soybean pod	gousse de soja
space maintenance	maintenance d'espace
spasm	spasme
Spearman's rank correlation	Mesure spécifique
specialist	medecin correspondant
special senses	appareil sensoriel
Specific measure	Taux spécifique
Specific rate	Spécification
specifying the patients' treatment pathway	Précisant aussi le parcours de soins des patients
Spectrum of disease	Spectre d'une maladie
Speech Language Pathologist	Orthophoniste
speech therapy	orthophoniste
sperm function	fonction spermatique
spermicide	spermicide
spider angioma	angiome stellaire
spinal arthritis	arthrite de la colonne vertébrale
spinal corde	moelle epiniere
spinal cord	moelle epinière
spinal curvature	devier la colonne verterbrale
spinal fusion	arthrodèse du rachis
spinal nerve problems	Troubles ou pathologies neurologiques d'origine rachidienne
spinal	rachianesthésie
Spit blood	Cracher du sang
Spit	Cracher
spitting	crachat
spleenocyte	splénocyte
spleen	rate
Spleen rate	Proportion de sujets atteints de splénomégalie
splint	attelle
splintered fracture	fracture esquilleuse
splinting	contraction douloureuse
spontaneous defibrillation	Défibrillation spontanée
spoon dosing	cuillère unidose
spoon feeding	alimentation à la cuillère
Sporadic	Sporadique
Spot map	Carte de répartition des sujets
sprain	entorse
sprain the ankle	fouler la cheville
spread	extension
Spur formation	formation d'ostéophytes
sputum	crachat
sputum	expectoration
sqat	accroupissement
stability	statique
stability testing	mise en stabilité
stabilizing	équilibrantes
Stable population	Population stable
staining	coloration
stand-alone EP studies	les examens ep autonomes
Standard deviation	Ecart-type
Standardization	Standardisation
Standardized measure	Mesure standardisée
Standard metropolitan statistical area	Erreur-type
Standard	Standard
standard ward	hospitalisation en chambre commune
stand by	de réserve
stand by	de secours
Staphylococcus	Staphylocoque
state of the art	dernier cri
Stationary population	Population stationnaire
Statistical error	Erreur statistique
Statistical inference	Inférence statistique
Statistical model	Modèle statistique
Statistical significance	Signification statistique
Statistical test	Test statistique
Statistics	Statistiques
status	statut
steady-state plasma	Concentrations plasmatiques moyennes à l'état d'équilibre
Steady state	Situation d'équilibre
stearic acid	acide stéarique
ST elevation MI	infarctus du myocarde avec surélévation du segment ST
stellate fracture	fracture stellaire
stem cell	cellule souche
steptococcal fascitis	fasciite streptococcique
stepwise deterioration	détérioration progressive
Stereogram	Stéréogramme
sterile field	champ stérile
Sterile gauze	Gaze stérile
Sterile solution	Solution stérile
Sterile	Stérile
Sterilisation	Stérilisation
sterilité	iud
Sterilized wound dressing	Pansement stérilisé
steriod-eluting	à diffusion de stéroïde
sternal synthesis	synthèse sternale
Steroid precursors	Précurseurs stéroïdiens
Steroid	Stéroïde
stiff joints	raideur d'articulation
stiffness	courbatures
stiffness	maladresse
Stillbirth certificate	Déclaration de mortinaissance
Stillbirth	Mortinaissance
Stillbirth rate	Indice de mortinatalité
Stillborn	Mort-né
stippling	piquetée
stirrup	Étrier
St. JohnS Wort	Millepertuis perforé
Stochastic process	Processus stochastique
stomach acid	acidité gastrique
stone	lithiase
stores	réserves
straight connector	connecteur rectiligne
Straight Endovascular Aortic Graft	Endoprothèse aortique droite
strain molecular population dynamics	dynamique moléculaire des souches post-introduction
strain	souche
strain	surcharge
strangulated hernia	hernie étranglée
strapping	bandage adhésif
strapping	emplâtre adhésif
Strata	Strate
Strategy	Stratégie
Stratification	Stratification
Stratified randomization	Echantillonnage aléatoire stratifié Randomisation stratifiée
strength	concentration
strength	la force
Strength of association	Force de l'association
Streptococcus	Streptocoque
stresses	contraintes
stress imaging studies	évaluation de la perfusion sanguine myocardique d'effort par scintigraphie
stress relieving feature	caractéristiques d'élimination des tensions
stress	stress
stress test	preuve d'effort
striated muscle bundles	faisceaux musculaires striés
stroke	accident vasculaire cérebrale
stroke	apoplexie
stroke	AVC
stroke output	débit systolique
stroke volume	volume systolique
strong medications	médicaments pris à forte dose
Struma	Scrofules
strut	entretoise
strut graft	greffon en H
ST segment	segment ST
ST short type	de taille réduite ST
sttemic patholgy	la pathologie syst'emique
stubbornness	têtu
study entry	admission à l'étude
stuffed animal	peluche
subaortic velocity time integral	ITV sous aortique
subcapital fracture of femur	fracture sous-capitale du fémur
subcitrate	sous-citrate
Subclinical disease	Maladie asymptomatique ou subclinique
subconscious mind	subconscience psychique
Subject information and consent form	Note d'information du sujet et formulaire de consentement éclairé
subsalicylate	sous salicylate de bismuth
subselectively	par cathétérisme sélectif
subserous fascia	aponévrose sous-séreuse
substance abuse	consommation de drogue
subtalar joint	articulation astragalo-calcanéenne
Subungual haematoma	Hématome subunguéal
Successful cancers	Cancers ayant réussi à se développer
suck and swallow reflex	réflexes de succion et de déglutition
sucs ?	succinylcholine
suction cup	ventouse
suction pad	ventouse
suction	succion
Sudatory	Sudatoire
sudden cardiac death	mort subite
suddenly	brutalement
Sudoriferous	Sudorifère
Sudorific	Sudorifique
sugar pill	comprimé de sucre
Sulphoconjugation	Action sulphoconjuguée
Sunblock base	Base écran solaire
sunburn	coup de soleil
Sunburn	Coup de soleil
Sun damage	Méfaits du soleil
Sunscreen product	Produit anti-solaire
superficial fascia	aponévrose superficielle
Superior mesenteric artery	SMA
superovulation	super-ovulation
supplemental new drug application	demande d'homologation complémentaire
supplement	complement vitaminique
supplements	complments
supplies	approvisionnement
supplies	fournitures
supply	apport
supplying the brain	destinée cérébrale
supported	approuvé
suppositoire	suppositoire
suppression	Voir ci-dessous
suppurative arthritis	arthrite purulente
Suppurative hidradenitis	Hidrosadénite suppurée
Supra-aortic vessels	SAV
suprarenal hormones	hormones surrénaliennes
supraspinatus fascia	aponévrose sus-épineuse
surface-active agent	agent tensioactif
Surface burn	Brûlure superficielle
Surface wound	Plaie superficielle
surgeon	chirurgien
surgical	chirugicale
surgical	chirurgical
surgical debridement	mise à plat chirurgicale
surgical gloves	gants chirurgicaux
surrogate outcome predictor	critère ou paramètre prédictif de substitution
surrogate	porteuse
surrounding	environnant
Surveillance of disease	Surveillance des maladies
Surveillance	Surveillance
survey	attitudes et habitudes
Survey	Enquête
Survey instrument	Instrument d'enquête
Survey methods	Méthodes d'enquête
Survival analysis	Analyse de survie
Survival curve	Courbe de survie
Survival function	Fonction de survie
Survival rate	Probabilité de survie
Survival ratio	Rapport de survie
Survival table	Table de survie
survivor benefit extension	prolongement des prestations au survivant
Survivorship study	Etude de survie
susceptible	susceptible
Sustained arrhythmia due to atrial fibrillation	SAAF
swab	pelvement  sur ecouillon
sweat canal	canal sudorifère
sweat gland	glande sudoripare
swelling	enflure
swelling	gonflement
switch	en relai
swollen liver	dilatation du foie
Symbiosis	Symbiose
Symmetrical relationship	Relation symétrique
sympathetic dysfunction	dysfonctionnement du sympathique
symptomatic carpal bossing	carpe bossu symptomatique
Symptomatic treatment	Traitement symptomatique
Syndrome	Syndrome
synovial bursa	bourse synoviale
synovial cavity	cavité synoviale
synovial chondromatosis	chondromatose synoviale
synovial sheath	gaine synoviale
Syphilitic ulcer	Ulcère syphillitique
syringe barrel	corps de seringue
syringe pump	seringue autopulsée
Sys	Systolique
system	appareil
Systematic error	Erreur systématique
systemic	général
Systemic lupus erythematosus	Lupus érythémateux disséminé
Systems analysis	Analyse de systèmes
Systolic pressure index	SPI
Systolique	Sys
table	le tableau
tablet	comprimé
Tablet	Tblt
tachycardia	tachycardies
Tachycardie auriculaire complète par fibrillation auriculaire	TACFA
tactile buds	corpuscules tactiles
tactile markers	repères sensoriels
takeover bid	offre public d'achat
taking a few days off for medical reasons	pour cause de soins médicaux
talonavicular joint	articulation astragalo-scaphoïdienne
tandem instrastent restenosis	en tandem intrastent
Tanner's staging method	méthode de cotation Tanner
tantrums	caprices
target cell	cellule cible
target	cible
targetoid	en cible
Target population	Population cible
taxing officer	magistrat taxateur
Taxonomy of disease	Taxinomie des maladies
Taxonomy	Taxinomie
Tblt	Tablet
teat	sucette
template	gabarit
tensioned cable	fil métallique tendu
TENS machine	neurostimulateur électrique percutané
Teratogen	Tératogène
Terbinafine hydrochloride	Chlorydrate de terbinafine
terminal dribbling	fuite postmictionnelle
test bed for Multitest Ejection Force	banc de force d'Ejection Multitest
test characteristics	valeur prédictive ou prévisionnelle
test	examen
Test hypothesis	Test d'hypothèse
Testicle difformities	Difformités du testicule
Testicle luxation	Luxation du testicule
Testicle malformations	Malformations du testicule
Testicle	Testicul
Testis	Testicule
Test of significance	Test de signification
test strips	bandelette diagnostique
Tetter	Dartre
the ablation device as a source of  alternate site burns	occasionner des brûlures à distance du site d'intervention
the buffering of acidity	tamponnement de l'acidité
the data bridged from...	Ci-dessous
... the final containers are filled	...se fait la répartition
the middle third of the patellar tendon	le tiers moyen du TR
the opposite of giving birth	accoucher dans l'autre sens
Theoretical epidemiology	Epidémiologie théorique
Theoretical maximum heart rate	TMHR
the patient reports an euthymic mood	la patient rapporte un humeur eu thymique
Therapeutic Recreation	thérapie récreative
therapeutic tools	outils thérapeutiques
Therapeutic trial	Essai thérapeutique
Therapeutic Use Exemptions TUE	Demande dAutorisation dUsage à des fins Thérapeutiques AUT
Therapy	Thérapie
There is an...	Membre du Bureau Association Chronobiologie Médicale
There is little eye contact today and she is tearful.	Peu de contact visuel avec elle aujourd'hui : elle pleure.
the reversibility of bronchoconstruction	la réversibilité du bronchospasme
the sinus node ages	le noeud sinusal vieillit
the spine and pelvis	lensemble rachis-bassin
the ventricles contract	les ventricules se contractent
thick drop	goutte épaisse
third-degree AV block	bloc auriculo-ventriculaire de troisième degré
Third degree burn	Brûlure du troisième degré
This depends on the  venous drainage pattern	elle est fonction du drainage veineux
This depends on venous drainage	elle est fonction du drainage veineux
thoracic cavity	cavité thoracique
thoracic duct	canal thoracique
thread	filetage
threaten survival	d'engager le pronostic vital
threats	menaces
Threshold limit value	Valeur limite d'exposition
Threshold phenomena	Phénomènes observés au-delà d'un certain seuil Phénomènes de seuil
thrill	frémissement
throbbing headache	la douleur lacinante
thrombocytopenia	thrombocytopénie
thrombophlebitis	TPP
thrombosis	thrombose
through a right transrectal incision	en trans rectal droit
Through concentrations ...above	Concentrations minimales supérieures à ...
throughput	débit
thrush	muguet
thumb spica splint	gantelet résine
thumb-sucking	sucer son pouce
thyroid drug	Les médicaments de la thyroïde
thyroide	thyroide
thyroid gland	glandes thyroides
thyroid nodule	nodule de thyroide
thyroid uptake	fixation thyroidienne
tibiofibular joint	articulation péronéo-tibiale
Tick Borne Encephalitis	encéphalite à tiques
tightness	constriction
tilt table	Table Basculante
Time cluster	Agrégat temporel
time management	gestion de temps
Time-place cluster	Agrégat temporo-spatial
time-to-event data	Les donées relatives au temps avant événement ...
tingling	engourdissement
tingling	fourmalité
tingling	fourmillement
tinnitus	acouphène
tintinitus	acouphène
tissue bundles	faisceaux tissulaires
tissue cuff height	hauteur gingivale
Tissue space	Espace inter-cellulaire
Tissue	Tissu
to accelerate the impulse	accélérer limpulsion
to advertise	annoncer
to anchor an ancillary tool	'pour ancrer un ancillaire'
to apply	appliquer
to apply	avoir recours à
to assign re-supply medication	pour attribuer les renouvellements
